raw_value,code,method,reviewed
дело прекращено за неподтверждением обвинения.,other,manual,true
"уголовное дело прекращено, из-под стражи освобожден",other,manual,true
к лишению свободы условно на 3 года,other,manual,true
"освобожден, дело прекращено",other,manual,true
дело прекращено за недоказанностью.,other,manual,true
из-под стражи освобожден за недоказанностью обвинения,other,manual,true
"дело прекращено за недоказанностью обвинения, реабилитирован",other,manual,true
репрессирован.,other,manual,true
"дело прекращено, из-под стражи освобождена.",other,manual,true
"дело прекращено, направлен на принудительное лечение в психиатрическую больницу",other,manual,true
дело прекращено за недостаточностью улик для предания суду.,other,manual,true
дело прекращено. из-под стражи освобожден,other,manual,true
Семья раскулачена,other,manual,true
"дело прекращено на стадии предварительного следствия по реабилитирующим основаниям, из-под стражи освобожден.",other,manual,true
"дело прекращено за отсутствием состава преступления, из-под стражи освобожден.",other,manual,true
"Условный срок, 3 года",other,manual,true
уголовное дело прекращено за отсутствием состава преступления.,other,manual,true
из-под стражи освобожден,other,manual,true
взята подписка о невыезде.,other,manual,true
не осуждена,other,manual,true
"дело прекращено за отсутствием состава преступления, реабилитирован",other,manual,true
дело прекращено в связи со смертью,other,manual,true
"дело прекращено по амнистии, из-под стражи освобожден.",other,manual,true
"оправдан, из-под стражи освобожден.",other,manual,true
"дело прекращено, освобождена",other,manual,true
оправдан по суду,other,manual,true
лишение избирательных прав,other,manual,true
3 г. л. с. условно.,other,manual,true
